epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,728.093,1.7259,1.13502,0.97632,0.74039,0.37739,0.2192,0.06679,3.06269,3.50051,1.67741,0.000555552,0.000555552,0.000555552
2,1407.12,1.68642,1.04892,0.96092,0.23556,0.36493,0.22256,0.06536,3.0908,3.74109,1.64905,0.00100121,0.00100121,0.00100121
3,2078.86,1.61759,0.98567,0.9434,0.75405,0.38687,0.24245,0.07659,2.9728,3.84786,1.63101,0.00133684,0.00133684,0.00133684
4,2747.58,1.55396,0.92623,0.92908,0.24852,0.37983,0.24137,0.07874,2.99957,3.73716,1.6473,0.0011719,0.0011719,0.0011719
5,3424.61,1.50053,0.8759,0.91663,0.23976,0.3773,0.22877,0.0714,3.16948,3.5846,1.68744,0.00100687,0.00100687,0.00100687
6,4107.25,1.45579,0.83538,0.90831,0.23828,0.39318,0.23263,0.07612,3.05136,3.76848,1.66555,0.000841835,0.000841835,0.000841835
7,4783.12,1.42056,0.80305,0.90003,0.2397,0.3847,0.23399,0.07137,3.06753,4.00259,1.66911,0.000676802,0.000676802,0.000676802
8,5458.95,1.38612,0.77243,0.89284,0.24133,0.38885,0.23742,0.07558,3.04014,4.04964,1.67599,0.000511769,0.000511769,0.000511769
9,6132.17,1.3517,0.74456,0.88613,0.23464,0.39512,0.23215,0.07198,3.09761,3.87124,1.7006,0.000346736,0.000346736,0.000346736
