epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1314.98,1.48791,0.98257,0.98837,0.22844,0.39537,0.22568,0.0699,2.93092,4.09879,2.29019,0.000555552,0.000555552,0.000555552
2,2583.82,1.44222,0.9013,0.97228,0.22973,0.39392,0.23881,0.07563,2.90828,4.03052,2.26933,0.000891198,0.000891198,0.000891198
3,3844.2,1.37847,0.83245,0.95277,0.21554,0.39449,0.21803,0.06559,2.96302,4.4766,2.31264,0.0010068,0.0010068,0.0010068
4,5101.23,1.32094,0.7749,0.93669,0.215,0.42244,0.23184,0.07402,2.93673,4.25851,2.33236,0.000676802,0.000676802,0.000676802
