epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,573.36,1.74399,1.14941,0.97086,0.2466,0.35671,0.2304,0.0658,3.10839,3.63175,1.66928,0.000555552,0.000555552,0.000555552
2,1111.93,1.69572,1.05678,0.95605,0.24844,0.36829,0.23822,0.07618,3.033,3.47215,1.64036,0.00100121,0.00100121,0.00100121
3,1645.44,1.62499,0.99056,0.9391,0.24463,0.37463,0.23821,0.07616,3.04319,3.79289,1.66535,0.00133684,0.00133684,0.00133684
4,2176.47,1.56646,0.93329,0.92423,0.22938,0.38406,0.21701,0.06689,3.03642,3.7272,1.62728,0.0011719,0.0011719,0.0011719
5,2708.72,1.51689,0.88561,0.91368,0.74951,0.38733,0.24474,0.07827,2.96411,3.6512,1.61942,0.00100687,0.00100687,0.00100687
6,3243.02,1.47234,0.84975,0.90389,0.23566,0.39389,0.22995,0.07302,2.97738,3.71581,1.61784,0.000841835,0.000841835,0.000841835
7,3773.52,1.43481,0.8145,0.89731,0.23955,0.39014,0.23593,0.07313,3.03803,3.85402,1.65052,0.000676802,0.000676802,0.000676802
8,4302.96,1.40332,0.78535,0.88929,0.23913,0.40325,0.24384,0.08039,2.98764,3.87058,1.65117,0.000511769,0.000511769,0.000511769
9,4836.07,1.37029,0.75887,0.88364,0.24286,0.39963,0.24365,0.07868,3.05578,3.7902,1.65845,0.000346736,0.000346736,0.000346736
10,5366.69,1.3394,0.73075,0.87835,0.24303,0.4107,0.24608,0.08327,2.95914,3.92955,1.62756,0.000181703,0.000181703,0.000181703
