epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1036.76,1.49983,0.99972,0.97743,0.23658,0.3682,0.23425,0.0745,2.93478,4.8476,2.17057,0.000555552,0.000555552,0.000555552
2,2044.46,1.44941,0.90825,0.96099,0.22927,0.38542,0.24183,0.07702,2.90889,4.07767,2.21154,0.000891198,0.000891198,0.000891198
3,3050.45,1.39025,0.84566,0.94223,0.23584,0.39905,0.24863,0.08082,2.95564,4.0463,2.22902,0.0010068,0.0010068,0.0010068
4,4054.52,1.33661,0.79221,0.92794,0.22977,0.40558,0.24838,0.08043,2.92915,4.28806,2.21027,0.000676802,0.000676802,0.000676802
5,5059.1,1.2858,0.73809,0.91308,0.23158,0.41161,0.24369,0.07941,2.9581,4.24844,2.22949,0.000346736,0.000346736,0.000346736
