epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1193.37,1.42843,0.99119,0.99737,0.43387,0.76366,0.40735,0.12125,2.4188,7.33993,1.9806,0.000666529,0.000666529,0.000666529
2,2290.63,1.38351,0.89581,0.98336,0.46616,0.75932,0.48047,0.14221,2.39266,8.02317,1.97304,0.00120121,0.00120121,0.00120121
3,3374.69,1.32553,0.83266,0.96296,0.48818,0.80104,0.49706,0.15906,2.29681,9.25146,1.92145,0.00160389,0.00160389,0.00160389
4,4459.59,1.27684,0.77873,0.94995,0.47135,0.79061,0.49997,0.15832,2.30875,7.0627,1.91079,0.001406,0.001406,0.001406
5,5545.5,1.23145,0.73254,0.93451,0.45235,0.80623,0.46888,0.14874,2.32206,6.59795,1.93177,0.001208,0.001208,0.001208
6,6624.81,1.19994,0.69827,0.92698,0.44991,0.81034,0.47972,0.15495,2.32216,5.88936,1.98213,0.00101,0.00101,0.00101
7,7711.74,1.17326,0.67053,0.91837,0.4635,0.8232,0.4936,0.15531,2.34115,6.75434,2.01965,0.000812,0.000812,0.000812
8,8797.14,1.14623,0.64219,0.91065,0.45756,0.83855,0.49551,0.15735,2.33311,7.15177,2.03619,0.000614,0.000614,0.000614
