epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,571.133,1.69258,1.0777,0.95626,0.23749,0.35803,0.2263,0.07029,3.05461,3.62189,1.68293,0.000555552,0.000555552,0.000555552
2,1111.67,1.65617,1.00977,0.94235,0.22942,0.35921,0.21555,0.0682,2.99587,3.41493,1.62681,0.00105621,0.00105621,0.00105621
3,1648.31,1.59577,0.95641,0.92643,0.23169,0.38623,0.22377,0.06971,3.00053,3.896,1.64902,0.00150186,0.00150186,0.00150186
4,2180.89,1.54859,0.91682,0.91762,0.23968,0.38825,0.23756,0.07438,2.961,3.75925,1.62099,0.00141945,0.00141945,0.00141945
5,2715.6,1.51048,0.88187,0.90788,0.23846,0.39452,0.23509,0.07495,2.99443,3.79397,1.65182,0.00133693,0.00133693,0.00133693
6,3248.68,1.47318,0.85056,0.90137,0.24242,0.39719,0.24172,0.07636,3.02743,3.692,1.65695,0.00125442,0.00125442,0.00125442
7,3782.89,1.45111,0.83009,0.89596,0.23711,0.40538,0.24119,0.07792,2.93615,3.75964,1.62123,0.0011719,0.0011719,0.0011719
8,4315.98,1.42535,0.81194,0.89178,0.2451,0.39616,0.25014,0.07937,2.9315,4.15505,1.6158,0.00108938,0.00108938,0.00108938
9,4849.57,1.41578,0.80293,0.88944,0.23487,0.39959,0.23674,0.07504,2.96657,3.89758,1.64587,0.00100687,0.00100687,0.00100687
10,5382.39,1.39583,0.7849,0.88507,0.23283,0.40626,0.23696,0.07631,2.93872,4.00449,1.61539,0.000924352,0.000924352,0.000924352
11,5909.03,1.38944,0.77748,0.88335,0.24299,0.40528,0.24753,0.08034,2.97778,3.95896,1.63072,0.000841835,0.000841835,0.000841835
12,6436.16,1.36833,0.75908,0.87855,0.24277,0.40922,0.24751,0.0823,3.00722,4.10864,1.62471,0.000759318,0.000759318,0.000759318
13,6962.15,1.3533,0.74596,0.87644,0.23984,0.41224,0.24394,0.0789,3.02088,3.96312,1.62911,0.000676802,0.000676802,0.000676802
14,7487.07,1.338,0.73282,0.87417,0.23739,0.41001,0.23921,0.07643,3.02601,3.99915,1.6371,0.000594286,0.000594286,0.000594286
15,8013.69,1.31736,0.71471,0.86984,0.23791,0.41433,0.24717,0.07855,3.06377,4.02402,1.65306,0.000511769,0.000511769,0.000511769
16,8538.85,1.30472,0.70387,0.86768,0.23351,0.41562,0.23733,0.07774,3.05133,4.10113,1.63584,0.000429253,0.000429253,0.000429253
17,9064.66,1.28928,0.69084,0.86545,0.23633,0.41484,0.24633,0.08,3.01428,3.97189,1.62727,0.000346736,0.000346736,0.000346736
18,9590.28,1.2716,0.67596,0.86112,0.23733,0.41447,0.24291,0.07797,3.02418,3.99179,1.63531,0.00026422,0.00026422,0.00026422
19,10115.1,1.25654,0.66307,0.85909,0.2361,0.41522,0.24411,0.07828,3.02915,4.10091,1.63303,0.000181703,0.000181703,0.000181703
20,10640.9,1.2447,0.65319,0.85693,0.23486,0.41834,0.24267,0.07803,3.05568,4.1197,1.6539,9.91865e-05,9.91865e-05,9.91865e-05
