epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,569.419,1.69345,1.07868,0.95609,0.2483,0.36818,0.2396,0.07797,2.96193,3.42031,1.65832,0.000555552,0.000555552,0.000555552
2,1107.34,1.62876,0.98675,0.93632,0.23954,0.37748,0.23391,0.07553,2.98354,3.74596,1.64049,0.000891198,0.000891198,0.000891198
3,1639.79,1.55045,0.91636,0.91701,0.23232,0.37839,0.2246,0.07035,2.97655,3.53885,1.6446,0.0010068,0.0010068,0.0010068
