epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,717.16,1.68109,1.06238,0.9629,0.24682,0.34801,0.23154,0.06863,3.07042,3.776,1.6813,0.000555552,0.000555552,0.000555552
2,1391.08,1.62164,0.97775,0.94308,0.21121,0.34934,0.20339,0.0606,2.98656,3.66766,1.64977,0.000891198,0.000891198,0.000891198
3,2058.83,1.53897,0.90868,0.92344,0.23681,0.38514,0.22422,0.07119,3.01511,3.88912,1.66091,0.0010068,0.0010068,0.0010068
4,2722.89,1.46678,0.84495,0.90948,0.25183,0.39479,0.25012,0.07877,2.97632,3.75038,1.64414,0.000676802,0.000676802,0.000676802
5,3389.29,1.40052,0.78571,0.89455,0.73785,0.40074,0.24263,0.07668,3.00097,3.92952,1.68151,0.000346736,0.000346736,0.000346736
