epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1022.5,1.55117,1.07571,0.99479,0.23779,0.36503,0.23857,0.07075,2.95785,4.0721,2.17922,0.000555552,0.000555552,0.000555552
2,2021.45,1.50642,0.97667,0.982,0.23435,0.36013,0.23823,0.07525,2.92949,3.97267,2.17793,0.00100121,0.00100121,0.00100121
3,3010.37,1.44595,0.90855,0.96399,0.23098,0.38021,0.24307,0.07579,2.94457,4.01946,2.22236,0.00133684,0.00133684,0.00133684
4,4007.41,1.40151,0.85909,0.94903,0.21356,0.41508,0.21895,0.07151,2.91765,3.92095,2.20472,0.0011719,0.0011719,0.0011719
5,4984.91,1.36208,0.81469,0.93838,0.73329,0.40483,0.24671,0.07884,2.93981,4.02099,2.17699,0.00100687,0.00100687,0.00100687
6,5963.55,1.32904,0.78357,0.9291,0.22905,0.41775,0.24849,0.08034,2.94771,4.24542,2.17386,0.000841835,0.000841835,0.000841835
7,6938.77,1.29873,0.74854,0.92116,0.22779,0.41826,0.24687,0.07958,2.91952,4.20531,2.17244,0.000676802,0.000676802,0.000676802
8,7906.9,1.27497,0.72341,0.91323,0.22522,0.42763,0.24903,0.08235,2.95797,4.16214,2.23091,0.000511769,0.000511769,0.000511769
9,8875.72,1.2478,0.69744,0.90659,0.22983,0.42537,0.25362,0.08403,2.92853,4.24482,2.19982,0.000346736,0.000346736,0.000346736
10,9844.61,1.22102,0.67142,0.90071,0.23777,0.42361,0.26054,0.08645,2.95266,4.3556,2.21304,0.000181703,0.000181703,0.000181703
