epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1294.69,1.53663,1.06,1.01094,0.24478,0.37128,0.24405,0.07482,2.95642,4.16657,2.27081,0.000555552,0.000555552,0.000555552
2,2544.09,1.50488,0.97205,0.99971,0.22364,0.40152,0.23139,0.07102,2.9486,3.98789,2.28939,0.00100121,0.00100121,0.00100121
3,3784.46,1.44474,0.90682,0.97894,0.74532,0.41758,0.2578,0.0838,2.92493,4.1696,2.28802,0.00133684,0.00133684,0.00133684
4,5022.18,1.39437,0.8506,0.96432,0.23025,0.41196,0.24646,0.07837,2.89138,4.29572,2.28096,0.0011719,0.0011719,0.0011719
5,6260.96,1.35114,0.8064,0.94973,0.21776,0.4176,0.23311,0.07287,2.90484,4.1385,2.25185,0.00100687,0.00100687,0.00100687
6,7498.63,1.3164,0.76839,0.94045,0.22979,0.42467,0.25019,0.08199,2.86668,4.07219,2.23634,0.000841835,0.000841835,0.000841835
7,8736.98,1.28872,0.73897,0.93117,0.22783,0.42588,0.25287,0.0811,2.91446,4.33755,2.27545,0.000676802,0.000676802,0.000676802
8,9975.37,1.26144,0.70932,0.92396,0.22157,0.42395,0.24816,0.07923,2.96698,4.29914,2.31031,0.000511769,0.000511769,0.000511769
